link|block
"""Пограбували квартиру. Винесли навіть хрестики, в яких дітей хрестили"", - написав він у Facebook.
Нардеп не уточнив, що саме зникло з квартири та коли сталося пограбування.
&nbsp;У поліції поки не коментували повідомлення про злочин.Нагадаємо, 10 січня суд розгляне справу капітана судна ""Норд"".читайте також: У ЗСУ пояснили, чому Росія не наважилася на подальшу ескалацію"|0
До того ж, вони не можуть нічого сказати про компанію, замовлення якої вони виконували.Раніше МінТОТ повідомляло, що порт &laquo;Азов&raquo;, з якого рушило судно, часто використовують для незаконного вивезення вугілля з частини окупованого Донбасу до портів Туреччини та інших країн.Врятований моряк Олег Геращенко (з Херсона) зазначив у коментарі Громадському, що йому та команді невідоме походження вугілля:&laquo;Це мені невідомо, це нікому з нас точно невідомо. Там порт дуже великий, вантаж того ж вугілля дуже різний: є дрібний, є великий &mdash; він увесь чорний і на ньому не написано, звідки він поступає в ті порти&raquo;.Він зазначив, що не володіє інформацією про власність судна &mdash; &laquo;У нас написано Панама, ми цю інформацією не дізнавалися, не хотіли, нам не треба була ця інформація&raquo;.Інший врятовий моряк, Павло Мільніченко, сказав, що не може нічого говорити про власність судна та компанію, замовлення якої команда виконувала. За його словами, про все буде відомо &laquo;за кілька днів&raquo;.Журналістка Громадського запитала, компанія, яка зробила замовлення на вантаж, була панамською чи якоїсь іншої країни.читайте також: Українців чекає аномально тепла зима: прогноз на два місяціНа що Мільніченко відповів:&laquo;Я не можу нічого сказати, я не знаю, ми зараз проходимо реабілітацію, тобто через декілька днів усе з&rsquo;ясують. Ми тоді вже будемо знати на 100%, як воно буде відбуватися в реальності&raquo;.На запитання, чи знає моряк щось про те, що затонуле вантажне судно &laquo;Волга-Балт&raquo; заходило в порти анексованого Криму, він сказав, що не володіє такою інформацією, адже працює на судні лише два тижні.Консул України в Туреччині Борис Ясинський зазначив Громадському, що ввечері 8 січня або зранку 9 січня лікарі ухвалять остаточне рішення щодо виписки моряків.&laquo;Але їхній стан дозволяє сподіватися, що вони будуть виписані через 2-3 дні&raquo;, &mdash; сказав консул.Нагадаємо, сьогодні бойовики гатили тільки поблизу Новотошківського.|1
"На судні ""Волго-Балт 214"" було 13 членів екіпажа, з яких 11&nbsp;українців. Решта &ndash; громадяни Азербайджану. Турецька влада повідомила: вижили семеро, шістьох знайшли мертвими. Людям дивом вдалося протриматися у крижаній воді п'ять&nbsp;годин. Вцілілих рятували за допомогою гелікоптерів, човнів і літака, повідомляє 24 канал.У родині Бодніка понад усе чекали на фото та відео рятувальної операції, проте Руслана у списку врятованих, на жаль, немає. Востаннє чоловік зв'язувався з родиною 5 січня, перед тим, як перетинав турецький кордон. Друзі пригадують, що він скаржився на застарілий корабель, адже ""Волго-Балт 214"" збудований ще у радянські часи 1978 року.За даними іноземних ЗМІ, судно розкололося і потонуло через удар хвилі. На ньому перевозили вугілля. Спочатку судно плавало під російським та радянським прапорами, а зараз &ndash; під панамським. У Міністерстві з питань тимчасово окупованих територій не виключають, що судно могло перевозити вугілля, яке добували на окупованих територіях Донецької та Луганської областей.читайте також: Перемога над підлістю: шашкіст, якого Росія дискваліфікувала за вишиванку, став чемпіоном світуДо слова, судно та його власник зараз &ndash; у так званому ""чорному списку"" за те, що ігнорував заборону заходили в порти анексованого Криму.Нагадаємо, моряки затонулого біля Туреччини судна не знають походження перевезеного вугілля.&nbsp;"|2
"Порошенко зазначив, що навіть після саморозпущення УПЦ КП Філарет лишається духовним лідером церкви та народу.
&laquo;Ще не придумано тої міри, якою можна виміряти внесок патріарха Філарета в боротьбу за власну помісну церкву. Він був, є і залишається духовним лідером української церкви, духовним лідером українського народу. Ось чому прийняв рішення присвоїти йому звання &laquo;Герой України&raquo;, &mdash; написав Порошенко.
Відповідно до указу, Філарет отримав звання за видатну історичну роль у становленні незалежної Православної церкви України, діяльність, спрямовану на відродження духовності Українського народу, піднесення авторитету православ'я, утвердження ідеалів милосердя і міжконфесійної злагоди.
Нагадаємо, Філарет розповів, коли ПЦУ набуде статусу патріархату.читайте також: Слідство встановило організаторів і замовників вбивства Гандзюк"|3
"Про це повідомило посольство України у Великій Британії.""Ми вдячні Джону Віттінгдейлу, який від імені Групи дружби з Україною в парламенті Великої Британії надіслав листи підтримки капітанам та екіпажам трьох українських кораблів, захоплених Росією внаслідок акту агресії 25 листопада 2018 року"", - йдеться у повідомленні, пише Укрінформ.&nbsp;Українське диппредставництво у Британії опублікувало один з таких листів у пості.""Дорогий капітане! Від імені Групи дружби з Україною у парламенті Великої Британії хочу побажати вам і вашому екіпажу всього найкращого у 2019 році. Я дуже сподіваюся, що в найближчому майбутньому ви повернетеся додому до своїх родин. Я також буду радий одного дня провести вам екскурсію парламентом Британії та запросити вас на склянку пива! Будьте сильними!"" - написав Віттінгдейл.Читайте також: Росія і Великобританія повертають дипломатівчитайте також: Українців чекає аномально тепла зима: прогноз на два місяціДо Групи дружби з Україною у парламенті Британії входить понад 40 депутатів.Як повідомлялося, 25 листопада 2018 року прикордонні кораблі Російської Федерації в районі Керченської протоки обстріляли і захопили три українських кораблі, які здійснювали плановий перехід з порту Одеса в порт Маріуполь, а також 24 моряків.Підконтрольні Росії ""суди"" в окупованому Криму заарештували на два місяці всіх&nbsp;моряків,&nbsp;після чого їх перевезли до Москви.Координатор команди адвокатів Микола Полозов повідомив, що всі захоплені Росією українські моряки заявили слідству, що є військовополоненими."|4
"Про це у прямому ефірі 24 каналу розповів політичний оглядач Олександр Солонтай.Він закликав усіх батьків, які помічають, що діти приносять зі школи чи садочка якусь політичну агітацію, сувеніри, цукерки, подарунки, на яких розміщена політична реклама &ndash; викладати негайно інформацію про такі випадки в інтернет, тегувати журналістів, робити ці випадки максимально публічними.""Найкраще покарання, яке може бути для політиків &ndash; це осуд громадськості,&nbsp;відсутність підтримки, засудження їхніх дій. Якщо люди цього не будуть засуджувати, уся боротьба з цими підступними методами агітації залишиться боротьбою з віртуальними повітряними млинами"",&nbsp;&ndash; наголосив експерт.Також він пояснив, чому політики уникають юридичної відповідальності за такі дії: завдяки низькій вартості подарунку у межах допустимих законом вартостей сувенірної продукції на одну особу. ""Тож кандидати у президенти ж у більшості випадків будуть вибачатися за свої дії і дії своїх підлеглих, але, на жаль, жодної серйозної юридичної відповідальності понести не можуть"", &ndash; зазначив Солонтай.читайте також: Слідство встановило організаторів і замовників вбивства ГандзюкІ додав, що дійсно буває таке, що&nbsp;певні довірені особи деяких кандидатів у президенти на якихось територіях не погоджують свої дії з центральним штабом, але зазвичай &ndash; це всеукраїнська кампанія, і в таких випадках політик лукавить, коли каже, що нічого такого не доручав.&nbsp;Нагадаємо, ""за пособництво російським окупантам"": засудили священика колишньої УПЦ МП."|5
"Про це в ефірі Громадського повідомила Тетяна Ворожко, журналістка української служби &laquo;Голосу Америки&raquo;.&laquo;В першу чергу це зачіпає ті 800 тисяч людей, які працюють у 9 міністерствах, їх зачепило це часткове закриття уряду&raquo;, &mdash; сказала Ворожко.&laquo;Люди або працюють безкоштовно, або залишаються вдома. Власне, ті хто залишився вдома, вони мають шанс підзаробити. З&rsquo;явилась інформація про те, що люди навіть на дуже високих посадах, залишаючись вдома, доглядають за дітьми, гуляють із собаками, водять таксі, редагують тексти, словом намагаються якось підзаробити&raquo;, &mdash; додала вона.Крім того, за словами журналістки, працівники Агентства з безпеки транспорту почали нездужати.читайте також: Палестинські бойовики обстріляли Ізраїль: уже 108 жертвУ Вашингтоні, через &laquo;шатдаун&raquo; також закриті музеї, закритий зоопарк, також існують проблеми з прибиранням парків.Нагадаємо, Трамп пригрози продовжити ""шатдаун"" на місяці або на роки."|6
"Про це повідомляє&nbsp;прес-служба&nbsp;Національної поліції з посиланням на радника Посольства Турецької Республіки в Україні з питань внутрішніх справ Хакана Сирали.
""Турецька сторона повідомила, що на суді затриманий визнав свою провину. Суд вже обрав йому запобіжний захід &nbsp;&ndash; тримання під вартою"", - йдеться в повідомленні.
Відзначається, що за законодавством Туреччини, чоловікові загрожує довічне позбавлення волі. &nbsp;&nbsp;
Нагадаємо, у&nbsp;Харкові вбили двох студенток.читайте також: ""Лежачий"" Янукович пробув у лікарні, куди його доправили з травмою, трохи більше години"|7
"Два з нмх на загальну суму 2,6 мільярда доларів Україна має отримати до кінця 2019 року.Про це йдеться в останньому аналітичному звіті Фонду, передає Укрінформ.Зокрема, у графіку запланованих переглядів виконання Україною умов програми, після яких Виконавча рада Фонду приймає рішення про виділення наступного траншу, вказані три дати.Перша &ndash; 18 грудня 2018 року, коли нова програма Stand By для України була затверджена керівництвом Фонду з рішенням виділити 1,4 млрд доларів у якості першого траншу.Виділення другого й третього кредитів за програмою передбачені після завершення переглядів МВФ, спланованих, відповідно, на 15 травня та на 15 листопада 2019 року. Суми спланованих траншів рівнозначні &ndash; по 1,3 млрд доларів.читайте також: Слідство встановило організаторів і замовників вбивства Гандзюк""Інвестиції, особливо прямі іноземні інвестиції, стримуються складним діловим кліматом, тоді як велика кількість працівників шукає можливості працевлаштування за кордоном, оскільки економічне зростання занадто низьке для того, щоб доходи могли помітно скоротити розрив порівняно з іншими країнами регіону"", - зазначається в повідомленні Фонду.Незважаючи на відновлення макроекономічної стабільності та економічного зростання після важкої кризи 2014-2015 рр., зусилля зі створення більшої позитивної динаміки, конкурентоспроможної економіки не виправдали очікувань, зазначає МВФ.Нагадаємо, поляки найбільше довіряють президентові та прем'єру."|8
Протягом найближчих п'яти днів в Україні буде мінлива погода, місцями пройде дощ з мокрим снігом, повідомляють у Гідрометцентрі.Україна потрапить в самий епіцентр циклону в найближчі дні - він принесе з собою надзвичайно мінливу погоду. До кінця тижня на всій території країни очікуються снігопади. У деяких областях вони припиняться на день, і навіть може виглянути сонце, але до кінця тижня знову замете. Температура повітря буде мінливою, опускаючись вночі до серйозних зимових температур.У середу, 9 січня, на південному сході України снігопади ненадовго припиняться і можна буде навіть порадіти сонечку. На решті території країни сніг і морозно, до мінус 5-8 нижче нуля.У четвер, 10 січня, снігопади знову повернуться на всю територію країни. На південному сході місцями мокрий сніг з дощем. Там температура буде від -1 морозу до +1 тепла. На решті території від -3 до -6 морозу, вдень до 8-10 морозу вночі.читайте також: Знайшли мертвим батька відомого футболіста&nbsp;У п'ятницю, 11 січня, погода в Україні буде схожою з попереднім днем. У центрі і на півночі країни можливе послаблення морозів. Але опади у вигляді снігу і мокрого снігу з дощами на південному сході збережуться.Нагадаємо, через негоду у Європі загинуло 12 людей.|9
